Player,Season,PP_TOI,PP_G,PP_A1,PP_A2,PP_A,PP_P,PP_P1,PP_G60,PP_A160,PP_A260,PP_A60,PP_P60,PP_P160,PP_iCF,PP_iCF60,PP_iCSh%,PP_iFF,PP_iFF60,PP_iFSh%,PP_iSF,PP_iSF60,PP_iSh%,PP_ixG,PP_ixG60,PP_ixFSh%,PP_iSCF,PP_iSCF60,PP_iHF,PP_iHA,PP_iGVA,PP_iTKA,PP_iBLK,PP_iFOW,PP_iFOL,PP_iFO%,PP_iPENT,PP_iPEND,PP_iPENDIFF,PP_iRB,PP_iRS,PP_Avg.DIST
BRANDON.PIRRI,20132014,76.8,3,0,3,3,6,3,2.34,0,2.34,2.34,4.69,2.34,26,20.31,11.54,20,15.62,15,17,13.28,17.65,1.81,1.42,9.07,5,3.91,2,0,1,0,0,26,14,65,1,0,-1,1,1,24.49
BRANDON.PIRRI,20142015,87.3,6,0,0,0,6,6,4.12,0,0,0,4.12,4.12,54,37.11,11.11,43,29.55,13.95,31,21.31,19.35,3.46,2.38,8.04,13,8.93,1,4,2,1,0,3,7,30,1,1,0,0,0,30.33
BRANDON.PIRRI,20152016,123.79,3,5,0,5,8,8,1.45,2.42,0,2.42,3.88,3.88,59,28.6,5.08,39,18.9,7.69,23,11.15,13.04,2.72,1.32,6.98,10,4.85,3,8,3,0,2,16,8,66.67,5,0,-5,0,0,33.04
BRANDON.SAAD,20122013,137.9479167,0,0,5.125,5.125,5.125,0,0,0,2.23,2.23,2.23,0,30.75,13.37,0,15.375,6.69,0,8.541666667,3.72,0,1.9475,0.85,12.72,13.66666667,5.94,0,5.125,3.416666667,0,0,3.416666667,1.708333333,66.67,0,0,0,0,0,17.88
BRANDON.SAAD,20132014,154.6,2,3,3,6,8,5,0.78,1.16,1.16,2.33,3.1,1.94,21,8.15,9.52,17,6.6,11.76,13,5.05,15.38,2.26,0.88,13.28,7,2.72,3,8,2,0,0,11,16,40.74,0,0,0,2,0,22.61
BRANDON.SAAD,20142015,189.18,1,4,4,8,9,5,0.32,1.27,1.27,2.54,2.85,1.59,36,11.42,2.78,24,7.61,4.17,16,5.07,6.25,1.86,0.59,7.73,6,1.9,1,12,2,3,1,14,13,51.85,0,0,0,1,1,27.11
BRANDON.SAAD,20152016,168.76,6,1,1,2,8,7,2.13,0.36,0.36,0.71,2.84,2.49,45,16,13.33,41,14.58,14.63,29,10.31,20.69,4.47,1.59,10.91,22,7.82,3,2,9,2,1,2,0,100,1,1,0,4,1,26.43
BRANDON.SUTTER,20112012,54.65,1,0,1,1,2,1,1.1,0,1.1,1.1,2.2,1.1,7,7.69,14.29,6,6.59,16.67,4,4.39,25,0.53,0.59,8.9,3,3.29,0,1,0,0,0,12,25,32.43,2,0,-2,0,1,18.47
BRANDON.SUTTER,20122013,122.6925,5.125,0,1.708333333,1.708333333,6.833333333,5.125,2.51,0,0.84,0.84,3.34,2.51,17.08333333,8.35,30,15.375,7.52,33.33,8.541666667,4.18,60,2.289166667,1.12,14.9,11.95833333,5.85,3.416666667,1.708333333,0,0,1.708333333,52.95833333,54.66666667,49.21,0,0,0,3.416666667,0,23.45
BRANDON.SUTTER,20132014,106.05,2,1,2,3,5,3,1.13,0.57,1.13,1.7,2.83,1.7,19,10.75,10.53,18,10.18,11.11,16,9.05,12.5,1.87,1.06,10.39,8,4.53,2,3,4,0,1,35,35,50,0,0,0,1,0,22.03
BRANDON.SUTTER,20142015,132.85,3,1,1,2,5,4,1.35,0.45,0.45,0.9,2.26,1.81,25,11.29,12,21,9.48,14.29,18,8.13,16.67,2.99,1.35,14.25,12,5.42,3,9,5,0,0,55,44,55.56,0,2,2,0,1,20.66
BRANDON.SUTTER,20152016,46.2,1,0,0,0,1,1,1.3,0,0,0,1.3,1.3,15,19.48,6.67,13,16.88,7.69,10,12.99,10,1.82,2.36,14,10,12.99,0,0,0,0,0,14,18,43.75,0,0,0,1,1,21.68
BRAYDEN.MCNABB,20142015,84.92,0,2,3,5,5,2,0,1.41,2.12,3.53,3.53,1.41,27,19.08,0,18,12.72,0,10,7.07,0,0.83,0.58,4.6,2,1.41,5,4,2,0,3,0,0,0,1,0,-1,0,0,45.68
BRAYDEN.MCNABB,20152016,33.13,0,0,1,1,1,0,0,0,1.81,1.81,1.81,0,5,9.06,0,4,7.24,0,3,5.43,0,0.33,0.6,8.24,1,1.81,0,2,1,1,0,0,0,0,1,0,-1,1,0,33.22
BRAYDEN.SCHENN,20112012,99.37,4,0,1,1,5,4,2.42,0,0.6,0.6,3.02,2.42,27,16.3,14.81,22,13.28,18.18,19,11.47,21.05,2.4,1.45,10.91,10,6.04,4,6,2,1,1,14,16,46.67,1,0,-1,2,0,24.16
