Player,Season,PP_TOI,PP_G,PP_A1,PP_A2,PP_A,PP_P,PP_P1,PP_G60,PP_A160,PP_A260,PP_A60,PP_P60,PP_P160,PP_iCF,PP_iCF60,PP_iCSh%,PP_iFF,PP_iFF60,PP_iFSh%,PP_iSF,PP_iSF60,PP_iSh%,PP_ixG,PP_ixG60,PP_ixFSh%,PP_iSCF,PP_iSCF60,PP_iHF,PP_iHA,PP_iGVA,PP_iTKA,PP_iBLK,PP_iFOW,PP_iFOL,PP_iFO%,PP_iPENT,PP_iPEND,PP_iPENDIFF,PP_iRB,PP_iRS,PP_Avg.DIST
DION.PHANEUF,20152016,199.18,0,4,5,9,9,4,0,1.2,1.51,2.71,2.71,1.2,89,26.81,0,49,14.76,0,23,6.93,0,2.94,0.89,6,9,2.71,2,4,6,1,3,0,0,0,6,1,-5,1,3,48.49
DMITRIJ.JASKIN,20142015,60.82,3,0,0,0,3,3,2.96,0,0,0,2.96,2.96,23,22.69,13.04,22,21.7,13.64,17,16.77,17.65,2.81,2.77,12.75,11,10.85,3,6,2,0,1,2,1,66.67,0,0,0,2,1,16.43
DMITRY.KULIKOV,20112012,174.86,2,4,4,8,10,6,0.69,1.37,1.37,2.75,3.43,2.06,71,24.36,2.82,49,16.81,4.08,32,10.98,6.25,2.6,0.89,5.31,3,1.03,2,7,5,2,1,0,0,0,1,2,1,2,0,43.97
DMITRY.KULIKOV,20122013,145.7379167,3.416666667,3.416666667,3.416666667,6.833333333,10.25,6.833333333,1.41,1.41,1.41,2.81,4.22,2.81,49.54166667,20.4,6.9,39.29166667,16.18,8.7,32.45833333,13.36,10.53,2.682083333,1.1,6.8,5.125,2.11,3.416666667,3.416666667,3.416666667,1.708333333,3.416666667,0,0,0,0,0,0,1.708333333,1.708333333,37.47
DMITRY.KULIKOV,20132014,204.92,2,2,1,3,5,4,0.59,0.59,0.29,0.88,1.46,1.17,61,17.86,3.28,44,12.88,4.55,30,8.78,6.67,2.28,0.67,5.17,4,1.17,5,13,8,5,3,0,0,0,1,0,-1,1,1,44.06
DMITRY.KULIKOV,20142015,120.13,1,2,3,5,6,3,0.5,1,1.5,2.5,3,1.5,34,16.98,2.94,22,10.99,4.55,14,6.99,7.14,1.39,0.7,6.33,3,1.5,0,4,2,1,4,0,0,0,2,0,-2,0,2,37.99
DMITRY.KULIKOV,20152016,113.33,0,3,2,5,5,3,0,1.59,1.06,2.65,2.65,1.59,21,11.12,0,16,8.47,0,12,6.35,0,0.92,0.49,5.76,1,0.53,2,3,3,0,3,0,0,0,3,0,-3,0,0,42.44
DMITRY.ORLOV,20112012,55.12,0,1,1,2,2,1,0,1.09,1.09,2.18,2.18,1.09,14,15.24,0,11,11.97,0,6,6.53,0,0.61,0.67,5.58,1,1.09,0,2,1,1,1,0,0,0,0,1,1,0,1,45.33
DMITRY.ORLOV,20152016,53.94,0,0,1,1,1,0,0,0,1.11,1.11,1.11,0,10,11.12,0,6,6.67,0,4,4.45,0,0.25,0.28,4.15,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,46.55
DOMINIC.MOORE,20112012,78.48,0,2,1,3,3,2,0,1.53,0.76,2.29,2.29,1.53,11,8.41,0,10,7.65,0,6,4.59,0,0.87,0.66,8.69,5,3.82,2,6,1,1,1,22,13,62.86,5,1,-4,0,1,28.03
DOUGIE.HAMILTON,20122013,141.8941667,3.416666667,3.416666667,0,3.416666667,6.833333333,6.833333333,1.44,1.44,0,1.44,2.89,2.89,56.375,23.84,6.06,34.16666667,14.45,10,30.75,13,11.11,1.964583333,0.83,5.77,3.416666667,1.44,5.125,1.708333333,5.125,0,3.416666667,0,0,0,0,0,0,1.708333333,0,41.56
DOUGIE.HAMILTON,20132014,124.08,2,2,2,4,6,4,0.97,0.97,0.97,1.93,2.9,1.93,47,22.73,4.26,32,15.47,6.25,24,11.61,8.33,1.74,0.84,5.44,3,1.45,1,5,3,1,2,0,0,0,0,0,0,0,1,46.29
DOUGIE.HAMILTON,20142015,179.96,5,3,6,9,14,8,1.67,1,2,3,4.67,2.67,111,37.01,4.5,82,27.34,6.1,49,16.34,10.2,3.13,1.04,3.82,2,0.67,4,1,4,1,2,0,0,0,1,1,0,1,2,45.55
DOUGIE.HAMILTON,20152016,196.75,5,5,5,10,15,10,1.52,1.52,1.52,3.05,4.57,3.05,104,31.72,4.81,66,20.13,7.58,49,14.94,10.2,3.32,1.01,5.03,7,2.13,3,5,9,0,3,0,0,0,3,0,-3,2,1,42.63
DRAYSON.BOWMAN,20112012,37.38,0,1,0,1,1,1,0,1.61,0,1.61,1.61,1.61,10,16.05,0,7,11.24,0,4,6.42,0,0.82,1.32,11.71,3,4.82,0,4,0,0,1,0,0,0,0,0,0,1,0,21.09
DRAYSON.BOWMAN,20132014,32.49,0,0,0,0,0,0,0,0,0,0,0,0,2,3.69,0,2,3.69,0,0,0,0,0.35,0.64,17.33,2,3.69,0,0,0,0,0,0,0,0,2,0,-2,1,0,18.47
DREW.DOUGHTY,20112012,263.83,3,4,2,6,9,7,0.68,0.91,0.45,1.36,2.05,1.59,89,20.24,3.37,59,13.42,5.08,41,9.32,7.32,3.6,0.82,6.1,6,1.36,3,4,13,1,2,0,0,0,1,3,2,2,1,45.87
DREW.DOUGHTY,20122013,233.4608333,3.416666667,6.833333333,3.416666667,10.25,13.66666667,10.25,0.88,1.76,0.88,2.63,3.51,2.63,92.25,23.71,3.7,56.375,14.49,6.06,41,10.54,8.33,3.057916667,0.79,5.43,6.833333333,1.76,6.833333333,3.416666667,5.125,1.708333333,0,0,0,0,0,0,0,0,1.708333333,43.76
DREW.DOUGHTY,20132014,297.7,5,3,3,6,11,8,1.01,0.6,0.6,1.21,2.22,1.61,99,19.95,5.05,71,14.31,7.04,55,11.08,9.09,3.92,0.79,5.53,5,1.01,6,5,16,1,2,0,0,0,2,2,0,1,0,42.74
DREW.DOUGHTY,20142015,271.35,1,8,6,14,15,9,0.22,1.77,1.33,3.1,3.32,1.99,116,25.65,0.86,84,18.57,1.19,52,11.5,1.92,3.94,0.87,4.69,9,1.99,3,8,8,1,3,0,0,0,1,0,-1,3,0,48.59
DREW.DOUGHTY,20152016,254.6,9,9,5,14,23,18,2.12,2.12,1.18,3.3,5.42,4.24,120,28.28,7.5,84,19.8,10.71,53,12.49,16.98,4.76,1.12,5.66,10,2.36,3,7,10,0,2,0,0,0,1,0,-1,3,2,44.94
DREW.MILLER,20142015,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,-1,0,0,0
DREW.SHORE,20122013,85.55333333,1.708333333,1.708333333,1.708333333,3.416666667,5.125,3.416666667,1.2,1.2,1.2,2.4,3.59,2.4,18.79166667,13.18,9.09,15.375,10.78,11.11,13.66666667,9.58,12.5,2.477083333,1.74,16.14,11.95833333,8.39,1.708333333,3.416666667,3.416666667,1.708333333,0,34.16666667,30.75,52.63,1.708333333,0,-1.708333333,3.416666667,0,22.34
DREW.STAFFORD,20112012,187.7,3,3,1,4,7,6,0.96,0.96,0.32,1.28,2.24,1.92,56,17.9,5.36,43,13.75,6.98,32,10.23,9.38,4.51,1.44,10.5,21,6.71,5,6,5,2,1,12,9,57.14,6,2,-4,2,1,24.53
DREW.STAFFORD,20122013,175.9925,0,1.708333333,1.708333333,3.416666667,3.416666667,1.708333333,0,0.58,0.58,1.16,1.16,0.58,58.08333333,19.8,0,49.54166667,16.89,0,41,13.98,0,3.69,1.26,7.45,15.375,5.24,5.125,8.541666667,1.708333333,1.708333333,0,13.66666667,20.5,40,3.416666667,1.708333333,-1.708333333,0,0,29.5
DREW.STAFFORD,20132014,159.33,2,4,1,5,7,6,0.75,1.51,0.38,1.88,2.64,2.26,55,20.71,3.64,40,15.06,5,30,11.3,6.67,4.18,1.57,10.44,14,5.27,5,3,3,2,1,9,10,47.37,0,0,0,3,1,24.52
DREW.STAFFORD,20142015,180.81,4,2,3,5,9,6,1.33,0.66,1,1.66,2.99,1.99,51,16.92,7.84,43,14.27,9.3,34,11.28,11.76,4.13,1.37,9.6,17,5.64,2,5,2,2,1,26,29,47.27,4,3,-1,3,2,25.55
DREW.STAFFORD,20152016,175.88,6,2,1,3,9,8,2.05,0.68,0.34,1.02,3.07,2.73,40,13.65,15,35,11.94,17.14,26,8.87,23.08,3.39,1.16,9.68,11,3.75,2,5,3,1,0,3,4,42.86,2,0,-2,3,0,28.86
DUNCAN.KEITH,20112012,242.7,1,6,4,10,11,7,0.25,1.48,0.99,2.47,2.72,1.73,94,23.24,1.06,62,15.33,1.61,42,10.38,2.38,3.29,0.81,5.31,7,1.73,1,3,6,3,4,0,0,0,0,0,0,3,3,48.01
DUNCAN.KEITH,20122013,217.095,3.416666667,6.833333333,3.416666667,10.25,13.66666667,10.25,0.94,1.89,0.94,2.83,3.78,2.83,93.95833333,25.97,3.64,52.95833333,14.64,6.45,39.29166667,10.86,8.7,2.61375,0.72,4.95,5.125,1.42,3.416666667,5.125,3.416666667,1.708333333,1.708333333,0,0,0,1.708333333,0,-1.708333333,0,3.416666667,45.24
DUNCAN.KEITH,20132014,243.76,3,5,10,15,18,8,0.74,1.23,2.46,3.69,4.43,1.97,114,28.06,2.63,67,16.49,4.48,46,11.32,6.52,3.48,0.86,5.2,5,1.23,1,3,5,4,1,0,0,0,2,0,-2,1,2,50.36
DUNCAN.KEITH,20142015,252.61,3,7,4,11,14,10,0.71,1.66,0.95,2.61,3.33,2.38,107,25.41,2.8,61,14.49,4.92,44,10.45,6.82,3.25,0.77,5.33,4,0.95,0,4,6,1,3,0,0,0,0,0,0,3,0,48.58
DUNCAN.KEITH,20152016,185.36,4,3,6,9,13,7,1.29,0.97,1.94,2.91,4.21,2.27,49,15.86,8.16,31,10.03,12.9,22,7.12,18.18,1.77,0.57,5.72,4,1.29,1,2,3,2,2,0,0,0,1,0,-1,0,1,44.78
DUSTIN.BROWN,20112012,249.42,8,1,2,3,11,9,1.92,0.24,0.48,0.72,2.65,2.17,61,14.67,13.11,51,12.27,15.69,37,8.9,21.62,8.17,1.97,16.03,35,8.42,28,12,8,2,0,3,4,42.86,5,3,-2,7,1,17.69
DUSTIN.BROWN,20122013,206.9133333,11.95833333,8.541666667,0,8.541666667,20.5,20.5,3.47,2.48,0,2.48,5.94,5.94,54.66666667,15.85,21.88,46.125,13.38,25.93,34.16666667,9.91,35,5.945,1.72,12.89,29.04166667,8.42,10.25,6.833333333,8.541666667,5.125,0,6.833333333,3.416666667,66.67,1.708333333,3.416666667,1.708333333,3.416666667,0,15.76
DUSTIN.BROWN,20132014,176.19,1,2,1,3,4,3,0.34,0.68,0.34,1.02,1.36,1.02,41,13.96,2.44,35,11.92,2.86,27,9.19,3.7,4.32,1.47,12.35,16,5.45,11,7,5,0,0,1,2,33.33,5,0,-5,3,0,16.92
DUSTIN.BROWN,20142015,132.39,1,2,3,5,6,3,0.45,0.91,1.36,2.27,2.72,1.36,27,12.24,3.7,23,10.42,4.35,17,7.7,5.88,3.37,1.53,14.65,16,7.25,7,10,7,0,0,8,6,57.14,3,3,0,2,1,18.53
DUSTIN.BROWN,20152016,96.19,2,1,0,1,3,3,1.25,0.62,0,0.62,1.87,1.87,22,13.72,9.09,18,11.23,11.11,11,6.86,18.18,2.29,1.43,12.7,11,6.86,0,7,2,0,0,3,5,37.5,0,0,0,3,0,19.86
DUSTIN.BYFUGLIEN,20112012,218.83,3,6,6,12,15,9,0.82,1.65,1.65,3.29,4.11,2.47,104,28.52,2.88,70,19.19,4.29,43,11.79,6.98,3.88,1.06,5.55,5,1.37,10,8,5,2,4,0,0,0,3,0,-3,1,2,49.13
DUSTIN.BYFUGLIEN,20122013,253.3970833,6.833333333,6.833333333,3.416666667,10.25,17.08333333,13.66666667,1.62,1.62,0.81,2.43,4.05,3.24,124.7083333,29.53,5.48,75.16666667,17.8,9.09,58.08333333,13.75,11.76,4.544166667,1.08,6.05,13.66666667,3.24,10.25,8.541666667,5.125,6.833333333,3.416666667,0,0,0,1.708333333,0,-1.708333333,0,3.416666667,44.59
DUSTIN.BYFUGLIEN,20132014,257.12,7,9,5,14,21,16,1.63,2.1,1.17,3.27,4.9,3.73,138,32.2,5.07,103,24.04,6.8,69,16.1,10.14,6.42,1.5,6.24,19,4.43,8,5,9,8,5,0,0,0,5,0,-5,5,4,44.6
DUSTIN.BYFUGLIEN,20142015,234.52,5,5,6,11,16,10,1.28,1.28,1.54,2.81,4.09,2.56,136,34.79,3.68,85,21.75,5.88,58,14.84,8.62,5.94,1.52,6.99,16,4.09,9,0,10,1,2,0,0,0,1,1,0,4,4,47.98
DUSTIN.BYFUGLIEN,20152016,271.16,3,7,7,14,17,10,0.66,1.55,1.55,3.1,3.76,2.21,137,30.31,2.19,91,20.14,3.3,62,13.72,4.84,4.71,1.04,5.17,8,1.77,11,2,11,1,5,0,0,0,6,1,-5,4,6,47.3
DUSTIN.PENNER,20112012,107.35,1,0,0,0,1,1,0.56,0,0,0,0.56,0.56,19,10.62,5.26,16,8.94,6.25,8,4.47,12.5,1.93,1.08,12.06,10,5.59,3,6,7,1,0,4,10,28.57,0,2,2,0,1,21.48
DUSTIN.PENNER,20122013,51.84791667,0,0,1.708333333,1.708333333,1.708333333,0,0,0,1.98,1.98,1.98,0,5.125,5.93,0,5.125,5.93,0,1.708333333,1.98,0,0.375833333,0.43,7.23,1.708333333,1.98,1.708333333,3.416666667,0,0,0,0,0,0,1.708333333,3.416666667,1.708333333,0,0,24.93
DUSTIN.PENNER,20132014,127.12,5,4,1,5,10,9,2.36,1.89,0.47,2.36,4.72,4.25,36,16.99,13.89,33,15.58,15.15,19,8.97,26.32,3.59,1.69,10.87,15,7.08,4,5,3,0,0,0,5,0,2,0,-2,2,1,21.18
DWIGHT.KING,20112012,49.24,0,2,0,2,2,2,0,2.44,0,2.44,2.44,2.44,9,10.97,0,7,8.53,0,3,3.66,0,1.37,1.67,19.62,6,7.31,2,5,3,0,0,0,0,0,0,0,0,1,0,10.7
DWIGHT.KING,20132014,52.89,0,1,0,1,1,1,0,1.13,0,1.13,1.13,1.13,5,5.67,0,4,4.54,0,4,4.54,0,0.51,0.58,12.8,1,1.13,1,0,1,1,0,0,0,0,1,0,-1,1,0,26.57
DWIGHT.KING,20142015,47.24,0,1,0,1,1,1,0,1.27,0,1.27,1.27,1.27,1,1.27,0,1,1.27,0,1,1.27,0,0.1,0.12,9.57,1,1.27,0,1,1,0,1,0,0,0,1,0,-1,0,0,10.77
DYLAN.DEMELO,20152016,54,2,1,1,2,4,3,2.22,1.11,1.11,2.22,4.44,3.33,16,17.78,12.5,12,13.33,16.67,8,8.89,25,0.62,0.69,5.19,2,2.22,0,2,3,1,0,0,0,0,1,0,-1,0,1,43.61
DYLAN.LARKIN,20152016,169.22,4,1,0,1,5,5,1.42,0.35,0,0.35,1.77,1.77,55,19.5,7.27,43,15.25,9.3,32,11.35,12.5,3.87,1.37,9.01,13,4.61,1,8,9,1,1,8,11,42.11,5,2,-3,3,4,28.08
ED.JOVANOVSKI,20112012,124.42,1,1,2,3,4,2,0.48,0.48,0.96,1.45,1.93,0.96,22,10.61,4.55,13,6.27,7.69,9,4.34,11.11,0.51,0.25,3.93,0,0,0,2,2,1,2,0,0,0,1,0,-1,0,0,51.57
ED.JOVANOVSKI,20132014,61.39,0,0,1,1,1,0,0,0,0.98,0.98,0.98,0,22,21.5,0,11,10.75,0,8,7.82,0,0.71,0.7,6.5,2,1.95,0,2,2,1,0,0,0,0,0,0,0,0,1,47.79
ELIAS.LINDHOLM,20132014,135.48,3,0,2,2,5,3,1.33,0,0.89,0.89,2.21,1.33,31,13.73,9.68,25,11.07,12,19,8.41,15.79,3.43,1.52,13.71,16,7.09,2,9,2,0,0,29,20,59.18,0,1,1,3,0,17.9
ELIAS.LINDHOLM,20142015,196.19,2,4,6,10,12,6,0.61,1.22,1.83,3.06,3.67,1.83,46,14.07,4.35,31,9.48,6.45,26,7.95,7.69,3.8,1.16,12.26,11,3.36,7,16,9,3,0,38,26,59.38,4,0,-4,3,1,26.98
ELIAS.LINDHOLM,20152016,210.09,2,5,5,10,12,7,0.57,1.43,1.43,2.86,3.43,2,46,13.14,4.35,37,10.57,5.41,25,7.14,8,4.15,1.19,11.22,19,5.43,9,7,7,2,0,57,37,60.64,1,1,0,3,0,25.89
ERIC.BELANGER,20112012,94.16,1,3,1,4,5,4,0.64,1.91,0.64,2.55,3.19,2.55,25,15.93,4,16,10.2,6.25,10,6.37,10,1.03,0.66,6.46,4,2.55,0,3,1,2,1,24,17,58.54,1,0,-1,0,0,34.43
ERIC.BREWER,20112012,100.5,0,1,2,3,3,1,0,0.6,1.19,1.79,1.79,0.6,23,13.73,0,10,5.97,0,5,2.99,0,0.59,0.35,5.85,1,0.6,1,3,3,0,3,0,0,0,2,0,-2,0,1,39.52
ERIC.FEHR,20122013,60.7825,1.708333333,0,0,0,1.708333333,1.708333333,1.69,0,0,0,1.69,1.69,20.5,20.24,8.33,17.08333333,16.86,10,11.95833333,11.8,14.29,2.255,2.23,13.22,11.95833333,11.8,1.708333333,0,1.708333333,1.708333333,0,0,0,0,3.416666667,0,-3.416666667,1.708333333,0,21.87
ERIC.FEHR,20132014,52.75,0,0,1,1,1,0,0,0,1.14,1.14,1.14,0,10,11.37,0,9,10.24,0,6,6.82,0,0.9,1.02,10.01,5,5.69,2,0,2,1,0,3,2,60,2,0,-2,0,0,25.54
ERIC.GELINAS,20132014,152.22,3,7,5,12,15,10,1.18,2.76,1.97,4.73,5.91,3.94,66,26.01,4.55,53,20.89,5.66,42,16.55,7.14,2.75,1.08,5.19,4,1.58,7,7,7,2,0,0,0,0,2,1,-1,0,2,48.56
ERIC.GELINAS,20142015,133.7,3,5,0,5,8,8,1.35,2.24,0,2.24,3.59,3.59,55,24.68,5.45,39,17.5,7.69,27,12.12,11.11,2.07,0.93,5.31,2,0.9,2,10,5,0,0,0,0,0,0,0,0,0,2,45.67
ERIC.GELINAS,20152016,53.42,1,1,2,3,4,2,1.12,1.12,2.25,3.37,4.49,2.25,21,23.59,4.76,15,16.85,6.67,9,10.11,11.11,0.72,0.81,4.8,1,1.12,0,1,3,0,0,0,0,0,1,0,-1,0,0,48.05
ERIC.NYSTROM,20122013,54.13708333,0,0,0,0,0,0,0,0,0,0,0,0,8.541666667,9.47,0,8.541666667,9.47,0,3.416666667,3.79,0,1.144583333,1.27,13.45,6.833333333,7.57,5.125,8.541666667,1.708333333,0,1.708333333,0,0,0,3.416666667,0,-3.416666667,0,0,13.11
ERIC.STAAL,20112012,270.33,5,8,7,15,20,13,1.11,1.78,1.55,3.33,4.44,2.89,81,17.98,6.17,65,14.43,7.69,48,10.65,10.42,7.34,1.63,11.29,37,8.21,1,9,10,4,0,125,112,52.74,2,2,0,6,3,21.71
ERIC.STAAL,20122013,279.5175,5.125,6.833333333,1.708333333,8.541666667,13.66666667,11.95833333,1.1,1.47,0.37,1.83,2.93,2.57,119.5833333,25.67,4.29,90.54166667,19.44,5.66,58.08333333,12.47,8.82,11.24083333,2.41,12.41,42.70833333,9.17,3.416666667,10.25,6.833333333,5.125,1.708333333,131.5416667,107.625,55,3.416666667,3.416666667,0,11.95833333,0,25.7
ERIC.STAAL,20132014,247.03,1,5,3,8,9,6,0.24,1.21,0.73,1.94,2.19,1.46,74,17.97,1.35,61,14.82,1.64,37,8.99,2.7,6.37,1.55,10.44,30,7.29,4,11,10,4,0,113,94,54.59,5,1,-4,6,1,27.49
ERIC.STAAL,20142015,192.83,7,5,1,6,13,12,2.18,1.56,0.31,1.87,4.05,3.73,76,23.65,9.21,50,15.56,14,36,11.2,19.44,5.92,1.84,11.84,26,8.09,1,10,7,1,0,80,54,59.7,2,1,-1,7,2,22.36
ERIC.STAAL,20152016,211.63,1,5,1,6,7,6,0.28,1.42,0.28,1.7,1.98,1.7,55,15.59,1.82,46,13.04,2.17,31,8.79,3.23,5.28,1.5,11.47,28,7.94,5,13,4,4,0,51,38,57.3,4,1,-3,3,3,19.2
ERIK.CHRISTENSEN,20112012,76.16,2,1,0,1,3,3,1.58,0.79,0,0.79,2.36,2.36,18,14.18,11.11,15,11.82,13.33,9,7.09,22.22,1.44,1.13,9.58,5,3.94,0,2,5,0,0,24,15,61.54,1,1,0,0,0,24.78
ERIK.COLE,20112012,263.33,10,3,0,3,13,13,2.28,0.68,0,0.68,2.96,2.96,55,12.53,18.18,46,10.48,21.74,38,8.66,26.32,6.56,1.5,14.27,27,6.15,11,12,8,2,1,9,5,64.29,2,2,0,5,0,18.4
ERIK.COLE,20122013,220.99,1.708333333,1.708333333,1.708333333,3.416666667,5.125,3.416666667,0.46,0.46,0.46,0.93,1.39,0.93,37.58333333,10.2,4.55,34.16666667,9.28,5,17.08333333,4.64,10,5.2275,1.42,15.29,22.20833333,6.03,13.66666667,13.66666667,1.708333333,1.708333333,0,10.25,29.04166667,26.09,3.416666667,1.708333333,-1.708333333,5.125,0,14.01
ERIK.COLE,20132014,187.56,3,2,2,4,7,5,0.96,0.64,0.64,1.28,2.24,1.6,53,16.95,5.66,38,12.16,7.89,27,8.64,11.11,5.02,1.61,13.21,19,6.08,9,9,5,2,0,12,7,63.16,3,1,-2,5,1,20.71
ERIK.COLE,20142015,128.27,3,5,1,6,9,8,1.4,2.34,0.47,2.81,4.21,3.74,30,14.03,10,19,8.89,15.79,14,6.55,21.43,3.16,1.48,16.62,13,6.08,5,5,0,1,0,1,3,25,2,2,0,4,2,18.47
ERIK.GUDBRANSON,20112012,42.68,0,1,0,1,1,1,0,1.41,0,1.41,1.41,1.41,13,18.28,0,8,11.25,0,7,9.84,0,0.38,0.54,4.78,0,0,2,2,0,0,1,0,0,0,4,1,-3,0,0,50.72
ERIK.GUDBRANSON,20132014,67.09,0,0,1,1,1,0,0,0,0.89,0.89,0.89,0,19,16.99,0,13,11.63,0,7,6.26,0,0.74,0.66,5.67,2,1.79,2,2,0,0,0,0,0,0,5,1,-4,0,0,46.5
ERIK.GUDBRANSON,20142015,74.04,0,1,3,4,4,1,0,0.81,2.43,3.24,3.24,0.81,28,22.69,0,23,18.64,0,13,10.53,0,1.16,0.94,5.02,2,1.62,2,3,0,0,0,0,0,0,3,1,-2,0,0,46.72
ERIK.GUDBRANSON,20152016,31.38,0,0,0,0,0,0,0,0,0,0,0,0,5,9.56,0,4,7.65,0,3,5.74,0,0.14,0.27,3.54,0,0,1,2,0,0,0,0,0,0,2,1,-1,0,0,46.06
ERIK.GUSTAFSSON,20152016,71.68,0,1,0,1,1,1,0,0.84,0,0.84,0.84,0.84,15,12.56,0,9,7.53,0,6,5.02,0,0.45,0.38,5.02,1,0.84,0,1,0,1,1,0,0,0,0,0,0,0,0,51.84
ERIK.GUSTAFSSON.2,20122013,84.665,0,0,1.708333333,1.708333333,1.708333333,0,0,0,1.21,1.21,1.21,0,11.95833333,8.47,0,8.541666667,6.05,0,6.833333333,4.84,0,0.427083333,0.3,5.03,0,0,0,1.708333333,3.416666667,0,1.708333333,0,0,0,0,0,0,0,0,52.51
ERIK.JOHNSON,20112012,171.49,1,7,4,11,12,8,0.35,2.45,1.4,3.85,4.2,2.8,79,27.64,1.27,48,16.79,2.08,34,11.9,2.94,2.1,0.73,4.37,3,1.05,1,5,6,4,0,0,0,0,3,0,-3,1,0,49.05
ERIK.JOHNSON,20122013,101.3041667,0,0,0,0,0,0,0,0,0,0,0,0,39.29166667,23.27,0,27.33333333,16.19,0,22.20833333,13.15,0,1.48625,0.88,5.41,3.416666667,2.02,1.708333333,1.708333333,6.833333333,1.708333333,3.416666667,0,0,0,0,0,0,1.708333333,0,43.86
ERIK.JOHNSON,20132014,207.79,2,7,3,10,12,9,0.58,2.02,0.87,2.89,3.47,2.6,64,18.48,3.12,44,12.71,4.55,37,10.68,5.41,1.99,0.57,4.52,3,0.87,1,4,6,3,4,0,0,0,0,1,1,0,1,45.29
ERIK.JOHNSON,20142015,124.04,2,2,1,3,5,4,0.97,0.97,0.48,1.45,2.42,1.93,50,24.19,4,30,14.51,6.67,24,11.61,8.33,1.32,0.64,4.38,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,41.11
ERIK.JOHNSON,20152016,155.84,3,2,1,3,6,5,1.16,0.77,0.39,1.16,2.31,1.93,43,16.56,6.98,27,10.4,11.11,20,7.7,15,1.42,0.55,5.26,4,1.54,1,3,3,1,1,0,0,0,3,0,-3,0,1,40.47
ERIK.KARLSSON,20112012,299.19,3,14,5,19,22,17,0.6,2.81,1,3.81,4.41,3.41,140,28.08,2.14,87,17.45,3.45,51,10.23,5.88,3.95,0.79,4.54,6,1.2,2,8,13,1,4,0,0,0,1,2,1,2,3,46.95
ERIK.KARLSSON,20122013,127.1854167,3.416666667,1.708333333,0,1.708333333,5.125,5.125,1.61,0.81,0,0.81,2.42,2.42,75.16666667,35.46,4.55,41,19.34,8.33,27.33333333,12.89,12.5,1.845,0.87,4.52,1.708333333,0.81,0,6.833333333,5.125,0,0,0,0,0,3.416666667,0,-3.416666667,0,0,45.5
ERIK.KARLSSON,20132014,326.86,4,8,14,22,26,12,0.73,1.47,2.57,4.04,4.77,2.2,128,23.5,3.12,73,13.4,5.48,50,9.18,8,3.21,0.59,4.4,4,0.73,2,7,14,3,4,0,0,0,3,1,-2,2,2,49.62
ERIK.KARLSSON,20142015,378.83,6,11,9,20,26,17,0.95,1.74,1.43,3.17,4.12,2.69,194,30.73,3.09,137,21.7,4.38,90,14.25,6.67,6.33,1,4.62,6,0.95,5,5,11,3,5,0,0,0,3,1,-2,4,3,46.36
ERIK.KARLSSON,20152016,357.15,1,13,10,23,24,14,0.17,2.18,1.68,3.86,4.03,2.35,125,21,0.8,78,13.1,1.28,56,9.41,1.79,3.81,0.64,4.89,2,0.34,0,7,10,0,6,0,0,0,3,0,-3,1,5,49.54
EVANDER.KANE,20112012,164.98,5,2,0,2,7,7,1.82,0.73,0,0.73,2.55,2.55,57,20.73,8.77,51,18.55,9.8,35,12.73,14.29,4.92,1.79,9.66,21,7.64,9,14,4,2,1,2,5,28.57,4,1,-3,2,1,28.07
EVANDER.KANE,20122013,195.2283333,3.416666667,0,3.416666667,3.416666667,6.833333333,3.416666667,1.05,0,1.05,1.05,2.1,1.05,54.66666667,16.8,6.25,41,12.6,8.33,29.04166667,8.93,11.76,2.750416667,0.85,6.73,6.833333333,2.1,1.708333333,29.04166667,3.416666667,1.708333333,0,0,5.125,0,6.833333333,1.708333333,-5.125,0,0,32.85
EVANDER.KANE,20132014,143.79,1,2,1,3,4,3,0.42,0.83,0.42,1.25,1.67,1.25,66,27.54,1.52,53,22.12,1.89,37,15.44,2.7,3.75,1.56,7.07,14,5.84,3,7,5,3,1,10,5,66.67,3,1,-2,2,1,31.73
EVANDER.KANE,20142015,78.55,3,1,1,2,5,4,2.29,0.76,0.76,1.53,3.82,3.06,32,24.44,9.38,25,19.1,12,19,14.51,15.79,2.56,1.96,10.25,12,9.17,3,6,2,1,0,5,3,62.5,1,0,-1,0,0,25.93
EVANDER.KANE,20152016,165.14,2,2,2,4,6,4,0.73,0.73,0.73,1.45,2.18,1.45,77,27.98,2.6,54,19.62,3.7,43,15.62,4.65,3.14,1.14,5.82,11,4,4,10,10,1,0,19,19,50,5,1,-4,1,3,34.92
EVGENI.MALKIN,20112012,304.26,11,15,4,19,30,26,2.17,2.96,0.79,3.75,5.92,5.13,209,41.21,5.26,144,28.4,7.64,96,18.93,11.46,12.32,2.43,8.55,39,7.69,0,10,20,2,0,125,110,53.19,9,2,-7,12,4,32.54
