Player,Season,GP,TOI,CF,CA,CF60,CA60,CF%,CSh%,CSv%,FF,FA,FF60,FA60,FF%,FSh%,FSv%,SF,SA,SF60,SA60,SF%,Sh%,Sv%,xGF,xGA,xGF60,xGA60,xGF%,xFSh%,xFSv%,Adj.FSv%,SCF,SCA,SCF60,SCA60,SCF%,PDO,xPDO,GF,GA,GF60,GA60,GF%,FO%,PENDIFF
ALEX.KILLORN,20122013,64.91666667,846.5304167,726.0416667,773.875,51.46,54.85,48.41,4.94,94.26,526.1666667,572.2916667,37.29,40.56,47.9,6.82,92.24,355.3333333,404.875,25.19,28.7,46.74,10.1,89.03,17.76,18.11,2.15,2.19,49.51,5.76,94.59,-2.36,100.7916667,88.83333333,7.14,6.3,53.15,99.13,100.36,35.875,44.41666667,2.54,3.15,44.68,49.89,-1.708333333
ALEX.KILLORN,20132014,82,1116.09,1059,988,56.93,53.11,51.73,4.82,95.65,802,764,43.11,41.07,51.21,6.36,94.37,576,536,30.97,28.81,51.8,8.85,91.98,43.34,43.93,2.33,2.36,49.66,5.4,94.25,0.12,120,143,6.45,7.69,45.63,100.83,99.65,51,43,2.74,2.31,54.26,50.93,-2
ALEX.KILLORN,20142015,71,920.64,904,742,58.92,48.36,54.92,4.87,95.15,662,547,43.14,35.65,54.76,6.65,93.42,485,390,31.61,25.42,55.43,9.07,90.77,36.82,31.82,2.4,2.07,53.64,5.56,94.18,-0.76,109,107,7.1,6.97,50.46,99.84,99.75,44,36,2.87,2.35,55,48.04,8
ALEX.KILLORN,20152016,81,1060.96,1028,905,58.14,51.18,53.18,4.67,96.13,751,695,42.47,39.3,51.94,6.39,94.96,533,496,30.14,28.05,51.8,9.01,92.94,41.82,37.89,2.36,2.14,52.47,5.57,94.55,0.42,143,132,8.09,7.46,52,101.95,100.12,48,35,2.71,1.98,57.83,48.86,0
ALEX.KOVALEV,20122013,23.91666667,282.95125,252.8333333,247.7083333,53.61,52.53,50.51,2.03,96.55,181.0833333,175.9583333,38.4,37.31,50.72,2.83,95.15,128.125,143.5,27.17,30.43,47.17,4,94.05,4.68,5.27,1.7,1.91,47.06,4.42,94.89,0.26,15.375,29.04166667,3.26,6.16,34.62,98.05,99.3,5.125,8.541666667,1.09,1.81,37.5,48.3,1.708333333
ALEX.OVECHKIN,20112012,78,1180.44,1106,1225,56.22,62.26,47.45,4.43,95.84,809,889,41.12,45.19,47.64,6.06,94.26,560,652,28.46,33.14,46.2,8.75,92.18,45.48,48.53,2.31,2.47,48.38,5.62,94.54,-0.28,152,148,7.73,7.52,50.67,100.93,100.16,49,51,2.49,2.59,49,45.44,3
ALEX.OVECHKIN,20122013,82,1239.225,1209.5,1250.5,58.56,60.55,49.17,5.23,95.63,872.9583333,917.375,42.27,44.42,48.76,7.24,94.04,615,674.7916667,29.78,32.67,47.68,10.28,91.9,31.19,31.04,2.58,2.57,50.12,6.1,94.22,-0.18,172.5416667,175.9583333,8.35,8.52,49.51,102.18,100.32,63.20833333,54.66666667,3.06,2.65,53.62,47.03,32.45833333
ALEX.OVECHKIN,20132014,78,1110.86,1110,1139,59.95,61.52,49.36,3.06,94.73,799,869,43.16,46.94,47.9,4.26,93.1,567,641,30.62,34.62,46.94,6,90.64,42.56,52.04,2.3,2.81,44.99,5.33,94.01,-0.92,129,166,6.97,8.97,43.73,96.64,99.34,34,60,1.84,3.24,36.17,46.38,28
ALEX.OVECHKIN,20142015,81,1212.27,1285,1108,63.6,54.84,53.7,4.2,95.49,935,807,46.28,39.94,53.67,5.78,93.8,631,571,31.23,28.26,52.5,8.56,91.24,51.8,47.56,2.56,2.35,52.13,5.54,94.11,-0.3,144,165,7.13,8.17,46.6,99.8,99.65,54,50,2.67,2.47,51.92,52.14,-18
ALEX.OVECHKIN,20152016,79,1167.21,1223,1077,62.87,55.36,53.17,4.82,96.84,899,764,46.21,39.27,54.06,6.56,95.55,640,524,32.9,26.94,54.98,9.22,93.51,52.55,40.44,2.7,2.08,56.51,5.85,94.71,0.84,181,129,9.3,6.63,58.39,102.73,100.55,59,34,3.03,1.75,63.44,48.57,-1
