Player,Season,Age
ANDRE.BURAKOVSKY,20152016,20
ANTOINE.VERMETTE,20152016,33
NIKOLAJ.EHLERS,20152016,19
KRIS.VERSTEEG,20152016,29
MIKE.CAMMALLERI,20152016,33
TYLER.JOHNSON,20152016,25
SAMI.VATANEN,20152016,24
CRAIG.SMITH,20152016,26
ROBBY.FABBRI,20152016,20
JUSTIN.FAULK,20152016,23
MATT.BELESKEY,20152016,27
TOBIAS.RIEDER,20152016,23
NICK.FOLIGNO,20152016,28
ZDENO.CHARA,20152016,38
ALEX.PIETRANGELO,20152016,26
ALEX.GOLIGOSKI,20152016,30
ZACK.SMITH,20152016,27
LEO.KOMAROV,20152016,29
SAM.BENNETT,20152016,19
LOGAN.COUTURE,20152016,26
AARON.EKBLAD,20152016,19
ANDERS.LEE,20152016,25
RICK.NASH,20152016,31
TANNER.PEARSON,20152016,23
KEVIN.HAYES,20152016,23
BENOIT.POULIOT,20152016,29
BLAKE.COMEAU,20152016,29
DAVID.PERRON,20152016,27
JOONAS.DONSKOI,20152016,23
JASON.POMINVILLE,20152016,33
MORGAN.RIELLY,20152016,21
MICHAEL.STONE,20152016,25
EVANDER.KANE,20152016,24
CODY.EAKIN,20152016,24
VLADISLAV.NAMESTNIKOV,20152016,23
TEUVO.TERAVAINEN,20152016,21
TYLER.BOZAK,20152016,29
MATTIAS.EKHOLM,20152016,25
ALEX.TANGUAY,20152016,36
MIKE.GREEN,20152016,30
NICK.BJUGSTAD,20152016,23
ERIK.HAULA,20152016,24
ANDREW.SHAW,20152016,24
RYAN.NUGENT-HOPKINS,20152016,22
JORI.LEHTERA,20152016,28
RYAN.MCDONAGH,20152016,26
ANTON.STRALMAN,20152016,29
FRANCOIS.BEAUCHEMIN,20152016,35
MARIAN.HOSSA,20152016,37
BRIAN.GIONTA,20152016,37
COLTON.PARAYKO,20152016,22
MATT.CULLEN,20152016,39
MICHAEL.FROLIK,20152016,27
JOSH.BAILEY,20152016,26
RYAN.ELLIS,20152016,25
ANDREW.COGLIANO,20152016,28
MATT.NISKANEN,20152016,29
DION.PHANEUF,20152016,30
MICHAEL.RAFFL,20152016,27
BRAD.RICHARDSON,20152016,30
ALEC.MARTINEZ,20152016,28
VALTTERI.FILPPULA,20152016,31
JAKE.GARDINER,20152016,25
BRIAN.CAMPBELL,20152016,36
SETH.JONES,20152016,21
CALLE.JARNKROK,20152016,24
KYLE.TURRIS,20152016,26
JESPER.FAST,20152016,24
CASEY.CIZIKAS,20152016,24
ANDREJ.SEKERA,20152016,29
MATTIAS.JANMARK,20152016,23
BRANDON.PIRRI,20152016,24
JAMES.VAN RIEMSDYK,20152016,26
JIMMY.HAYES,20152016,26
ANTOINE.ROUSSEL,20152016,26
DAVID.DESHARNAIS,20152016,29
JARED.SPURGEON,20152016,26
NICK.BONINO,20152016,27
VALERI.NICHUSHKIN,20152016,20
DMITRY.ORLOV,20152016,24
SVEN.BAERTSCHI,20152016,23
OSCAR.LINDBERG,20152016,24
SHAWN.MATTHIAS,20152016,27
DUSTIN.BROWN,20152016,31
RYAN.CALLAHAN,20152016,30
HAMPUS.LINDHOLM,20152016,22
BRAD.RICHARDS,20152016,35
RYAN.STROME,20152016,22
TREVOR.DALEY,20152016,32
CAM.FOWLER,20152016,24
DALE.WEISE,20152016,27
RADIM.VRBATA,20152016,34
PATRICK.MAROON,20152016,27
ERIK.JOHNSON,20152016,27
PETER.HOLLAND,20152016,25
TYLER.MYERS,20152016,25
MIKHAIL.GRIGORENKO,20152016,21
DAVID.PASTRNAK,20152016,19
LARS.ELLER,20152016,26
DARREN.HELM,20152016,29
MATT.READ,20152016,29
CODY.CECI,20152016,22
MATT.DUMBA,20152016,21
KEVIN.KLEIN,20152016,31
NIKLAS.KRONWALL,20152016,35
TOMAS.FLEISCHMANN,20152016,31
RILEY.SHEAHAN,20152016,24
DEVANTE.SMITH-PELLY,20152016,23
MARK.LETESTU,20152016,30
JOHNNY.BOYCHUK,20152016,32
BRETT.CONNOLLY,20152016,23
MIKHAIL.GRABOVSKI,20152016,32
RYAN.MURRAY,20152016,22
DAVID.SAVARD,20152016,25
BEN.HUTTON,20152016,22
MATT.CALVERT,20152016,26
DAN.BOYLE,20152016,39
JOAKIM.NORDSTROM,20152016,23
JORDAN.MARTINOOK,20152016,23
BRAD.BOYES,20152016,33
ZACH.BOGOSIAN,20152016,25
COLIN.WILSON,20152016,26
NIKLAS.HJALMARSSON,20152016,28
CAL.CLUTTERBUCK,20152016,28
MIKE.FISHER,20152016,35
JASON.ZUCKER,20152016,24
COLTON.SCEVIOUR,20152016,26
MARCUS.FOLIGNO,20152016,24
ANDREJ.NESTRASIL,20152016,24
NAIL.YAKUPOV,20152016,22
JASON.DEMERS,20152016,27
TOM.WILSON,20152016,21
MARK.STREIT,20152016,38
JUSTIN.BRAUN,20152016,28
VERNON.FIDDLER,20152016,35
MARIAN.GABORIK,20152016,33
LAURI.KORPIKOSKI,20152016,29
ALEX.BURROWS,20152016,34
NIKOLAY.KULEMIN,20152016,29
RILEY.NASH,20152016,26
J.T..BROWN,20152016,25
JADEN.SCHWARTZ,20152016,23
NICK.HOLDEN,20152016,28
NOAH.HANIFIN,20152016,19
JOHN.MITCHELL,20152016,31
LUKE.GLENDENING,20152016,26
MATT.MOULSON,20152016,32
ALEX.BURMISTROV,20152016,24
SCOTT.LAUGHTON,20152016,21
JOHN-MICHAEL.LILES,20152016,35
JACOB.TROUBA,20152016,21
TRAVIS.HAMONIC,20152016,25
MARCO.SCANDELLA,20152016,25
KARL.ALZNER,20152016,27
JOHNNY.ODUYA,20152016,34
ANDREJ.SUSTR,20152016,25
DAMON.SEVERSON,20152016,21
BRIAN.BOYLE,20152016,31
WILLIAM.KARLSSON,20152016,23
VIKTOR.STALBERG,20152016,30
DANNY.DEKEYSER,20152016,25
CHRIS.STEWART,20152016,28
CHRIS.TIERNEY,20152016,21
ALEX.EDLER,20152016,29
CURTIS.LAZAR,20152016,20
PAUL.MARTIN,20152016,34
JACCOB.SLAVIN,20152016,21
TORREY.MITCHELL,20152016,31
MELKER.KARLSSON,20152016,25
MATT.MARTIN,20152016,26
REID.BOUCHER,20152016,22
OLLI.MAATTA,20152016,21
DAVID.SCHLEMKO,20152016,28
DANIEL.WINNIK,20152016,30
RON.HAINSEY,20152016,34
JOHN.MOORE,20152016,25
KRIS.RUSSELL,20152016,28
JAY.BOUWMEESTER,20152016,32
NATHAN.BEAULIEU,20152016,23
DENNIS.WIDEMAN,20152016,32
PAUL.BYRON,20152016,26
DAVID.JONES,20152016,31
VINCENT.LECAVALIER,20152016,35
MICHAEL.GRABNER,20152016,28
JARED.MCCANN,20152016,19
MIKE.SANTORELLI,20152016,30
ZEMGUS.GIRGENSONS,20152016,22
JONATHAN.MARCHESSAULT,20152016,25
TOMMY.WINGELS,20152016,27
MATT.BARTKOWSKI,20152016,27
KEVAN.MILLER,20152016,28
MICHEAL.FERLAND,20152016,23
JUSTIN.SCHULTZ,20152016,25
CHRIS.TANEV,20152016,26
ADAM.LARSSON,20152016,23
PATRICK.EAVES,20152016,31
JOHAN.LARSSON,20152016,23
JAY.BEAGLE,20152016,30
MATT.NIETO,20152016,23
SVEN.ANDRIGHETTO,20152016,22
PHILLIP.DI GIUSEPPE,20152016,22
ADAM.LOWRY,20152016,22
THOMAS.HICKEY,20152016,26
CONNOR.MURPHY,20152016,22
SHANE.PRINCE,20152016,23
MATT.STAJAN,20152016,32
JOSEPH.BLANDISI,20152016,21
KEVIN.CONNAUTON,20152016,25
CODY.FRANSON,20152016,28
DAN.GIRARDI,20152016,31
ALEX.PETROVIC,20152016,23
DMITRY.KULIKOV,20152016,25
RYAN.WHITE,20152016,27
VIKTOR.ARVIDSSON,20152016,22
SAM.GAGNER,20152016,26
TREVOR.LEWIS,20152016,29
MILAN.MICHALEK,20152016,31
DEREK.DORSETT,20152016,29
JUSTIN.FONTAINE,20152016,28
JEFF.PETRY,20152016,28
BRETT.PESCE,20152016,21
LUKE.SCHENN,20152016,26
MAREK.ZIDLICKY,20152016,38
TYLER.KENNEDY,20152016,29
COLIN.MILLER,20152016,23
CALVIN.DE HAAN,20152016,24
TOBIAS.ENSTROM,20152016,31
NATE.SCHMIDT,20152016,24
ROMAN.POLAK,20152016,29
BRIAN.DUMOULIN,20152016,24
PATRIK.BERGLUND,20152016,27
SERGEY.KALININ,20152016,24
EMERSON.ETEM,20152016,23
COLIN.GREENING,20152016,29
SHAWN.HORCOFF,20152016,37
DOMINIC.MOORE,20152016,35
TOM.KUHNHACKL,20152016,24
JOSH.MANSON,20152016,24
KEVIN.BIEKSA,20152016,34
LINDEN.VEY,20152016,24
