Player,Season,G,A1,A2,A,P,P1,G60,A160,A260,A60,P60,P160,iCF,iCF60,iCSh%,iFF,iFF60,iFSh%,iSF,iSF60,iSh%,ixG,ixG60,ixFSh%,iSCF,iSCF60,iHF,iHA,iGVA,iTKA,iBLK,iFOW,iFOL,iFO%,iPENT,iPEND,iPENDIFF,iRB,iRS,Avg.DIST
ANDRE.BURAKOVSKY,20142015,7,4,6,10,17,11,0.71,0.4,0.61,1.01,1.72,1.11,128,12.96,5.47,92,9.31,7.61,59,5.97,11.86,6.22,0.63,6.76,23,2.33,22,77,16,14,18,69,90,43.4,4,7,3,1,9,26.85
ANDRE.BURAKOVSKY,20152016,16,5,10,15,31,21,1.04,0.32,0.65,0.97,2.01,1.36,219,14.18,7.31,160,10.36,10,113,7.32,14.16,11.41,0.74,7.13,39,2.53,37,87,26,32,23,9,13,40.91,6,8,2,3,19,28.83
ANDREI.KOSTITSYN,20112012,11,9,10,19,30,20,0.71,0.58,0.65,1.23,1.94,1.29,205,13.23,5.37,144,9.29,7.64,110,7.1,10,9.69,0.63,6.73,37,2.39,106,75,37,20,9,3,12,20,11,7,-4,3,23,28.72
ANDREI.LOKTIONOV,20112012,2,4,0,4,6,6,0.27,0.55,0,0.55,0.82,0.82,99,13.5,2.02,68,9.27,2.94,53,7.22,3.77,3.41,0.46,5.01,10,1.36,7,30,22,14,6,60,75,44.44,2,5,3,1,3,33.05
ANDREI.LOKTIONOV,20122013,11.95833333,3.416666667,0,3.416666667,15.375,15.375,1.28,0.37,0,0.37,1.65,1.65,100.7916667,10.79,11.86,80.29166667,8.6,14.89,61.5,6.59,19.44,6.013333333,0.64,7.5,15.375,1.65,10.25,39.29166667,11.95833333,30.75,13.66666667,121.2916667,198.1666667,37.97,5.125,0,-5.125,6.833333333,0,26.87
ANDREI.LOKTIONOV,20132014,5,9,2,11,16,14,0.4,0.72,0.16,0.88,1.27,1.11,131,10.43,3.82,101,8.04,4.95,65,5.18,7.69,6.75,0.54,6.68,25,1.99,33,64,8,29,14,139,192,41.99,5,6,1,8,6,30.49
ANDREI.MARKOV,20112012,0,1,0,1,1,1,0,0.37,0,0.37,0.37,0.37,20,7.43,0,12,4.46,0,9,3.34,0,0.41,0.15,3.42,1,0.37,6,4,0,1,5,0,0,0,0,1,1,0,1,49.87
ANDREI.MARKOV,20122013,3.416666667,1.708333333,6.833333333,8.541666667,11.95833333,5.125,0.16,0.08,0.32,0.4,0.56,0.24,165.7083333,7.74,2.06,102.5,4.79,3.33,66.625,3.11,5.13,3.109166667,0.15,3.04,5.125,0.24,25.625,63.20833333,64.91666667,17.08333333,75.16666667,0,0,0,6.833333333,6.833333333,0,6.833333333,10.25,46.51
ANDREI.MARKOV,20132014,3,12,2,14,17,15,0.13,0.53,0.09,0.62,0.75,0.66,165,7.29,1.82,111,4.91,2.7,79,3.49,3.8,2.98,0.13,2.69,4,0.18,40,71,67,21,119,0,0,0,7,5,-2,7,5,49.71
ANDREI.MARKOV,20142015,4,8,7,15,19,12,0.17,0.34,0.3,0.64,0.81,0.51,233,9.94,1.72,149,6.36,2.68,95,4.05,4.21,4.88,0.21,3.28,8,0.34,40,53,60,31,130,0,0,0,9,5,-4,8,14,45
