,0
GP|20112012,1.8013094374949917e-06
GP|20122013,4.306587254997231e-06
GP|20132014,0.0015852201625501474
GP|20142015,3.289648238828725e-07
TOI|20112012,1.6190372977527016e-06
TOI|20122013,3.49718176981119e-05
TOI|20132014,4.5139569325497956e-05
TOI|20142015,6.371348537532594e-05
CF|20112012,0.006584209980988147
CF|20122013,0.0016570316271968238
CF|20132014,0.0002550524711719466
CF|20142015,0.00011405737141958236
CA|20112012,5.188127742650372e-05
CA|20122013,7.302140376379831e-06
CA|20132014,3.1537498791849275e-05
CA|20142015,3.953325021510481e-05
CF60|20112012,0.00028524354393948847
CF60|20122013,0.00043995932029372456
CF60|20132014,1.8820323315338104e-05
CF60|20142015,2.0334597419606985e-05
CA60|20112012,0.0002972918562139557
CA60|20122013,0.0011409697146112416
CA60|20132014,5.0983336638954915e-06
CA60|20142015,0.0005235172508995537
CF%|20112012,1.804599362916033e-05
CF%|20122013,6.042600217914165e-05
CF%|20132014,0.00012302652396831658
CF%|20142015,1.3217340921605761e-05
CSh%|20112012,3.8790118342758444e-05
CSh%|20122013,0.0012814044185215706
CSh%|20132014,0.0003298527678257201
CSh%|20142015,0.00043774301739333687
CSv%|20112012,0.0002464496424994791
CSv%|20122013,2.0796212935361816e-05
CSv%|20132014,3.8509992757032946e-05
CSv%|20142015,0.0005427883886741173
FF|20112012,0.003225390249364886
FF|20122013,8.537024759300829e-06
FF|20132014,0.0002359138182367028
FF|20142015,0.0006685345897656228
FA|20112012,3.515931012239908e-05
FA|20122013,1.515371067852844e-05
FA|20132014,0.000449731379772362
FA|20142015,1.012476762780056e-06
FF60|20112012,8.776447125556205e-05
FF60|20122013,0.00020107155336247903
FF60|20132014,2.6283354027604377e-05
FF60|20142015,0.0005318651983812742
FA60|20112012,0.0003730319803713408
FA60|20122013,3.5251491595912454e-05
FA60|20132014,0.0003984943241566615
FA60|20142015,2.781833664024714e-05
FF%|20112012,8.317275687272404e-05
FF%|20122013,0.0002331607041537337
FF%|20132014,0.0016376628176219894
FF%|20142015,0.00012026117630697136
FSh%|20112012,9.500934224114347e-07
FSh%|20122013,0.00011993065187861586
FSh%|20132014,0.0007124909643735548
FSh%|20142015,5.718583630339598e-05
FSv%|20112012,0.0002698337138632108
FSv%|20122013,9.849533059570723e-05
FSv%|20132014,0.0004400410290716212
FSv%|20142015,6.778040916411365e-05
SF|20112012,5.532913096461502e-05
SF|20122013,9.683742582971502e-05
SF|20132014,2.181187831983473e-05
SF|20142015,0.001591120454643305
SA|20112012,2.5088370517989662e-06
SA|20122013,0.0002899069405724984
SA|20132014,0.00026867554701307124
SA|20142015,1.850291205876176e-06
SF60|20112012,7.542756320177814e-05
SF60|20122013,0.0012438290029567836
SF60|20132014,0.00031186377012664475
SF60|20142015,0.00020708569093361493
SA60|20112012,0.00011708496977071828
SA60|20122013,0.0009265927039794656
SA60|20132014,0.0007194379353849843
SA60|20142015,0.00147409258435369
SF%|20112012,6.675232096394101e-07
SF%|20122013,0.0001222424975321571
SF%|20132014,0.00010872815149740912
SF%|20142015,0.000420835821930876
Sh%|20112012,2.9455659047499027e-05
Sh%|20122013,0.00015405686780552814
Sh%|20132014,0.00039093081283366767
Sh%|20142015,0.0006269944852179592
Sv%|20112012,0.0028262099162691904
Sv%|20122013,0.0007470825557125773
Sv%|20132014,1.6381450428950406e-06
Sv%|20142015,0.0005405657114343055
xGF|20112012,2.4893944397561727e-05
xGF|20122013,0.0008697938525033474
xGF|20132014,0.00010364833808436985
xGF|20142015,0.00012091995005129794
xGA|20112012,3.865368388823285e-05
xGA|20122013,0.0006927065376349642
xGA|20132014,3.781811780334198e-07
xGA|20142015,1.2261944692023318e-06
xGF60|20112012,0.0011870016588415772
xGF60|20122013,0.0009408227679220327
xGF60|20132014,0.0005369855054616175
xGF60|20142015,0.0008788357547636438
xGA60|20112012,0.0009175836856575189
xGA60|20122013,0.0006550937089731151
xGA60|20132014,0.00044671034156406903
xGA60|20142015,0.0013854003507536316
xGF%|20112012,3.856715846923044e-05
xGF%|20122013,0.0005377565597239214
xGF%|20132014,2.9260350998817692e-05
xGF%|20142015,7.278418707428801e-05
xFSh%|20112012,0.001558638621177963
xFSh%|20122013,6.4970444459378535e-06
xFSh%|20132014,3.7221155658415526e-06
xFSh%|20142015,0.0004390684393794121
xFSv%|20112012,4.2459855034495844e-05
xFSv%|20122013,0.00034235027592553643
xFSv%|20132014,0.00011609149387739719
xFSv%|20142015,0.00031747098706122836
Adj.FSv%|20112012,0.0005306046457872525
Adj.FSv%|20122013,0.0008663386014445808
Adj.FSv%|20132014,0.0009325101063072935
Adj.FSv%|20142015,0.0009063100325821043
SCF|20112012,2.196237771619556e-05
SCF|20122013,9.822420884640103e-05
SCF|20132014,0.00015602045606098394
SCF|20142015,0.0032254904227501284
SCA|20112012,0.0008126420664591134
SCA|20122013,8.136184288580127e-05
SCA|20132014,1.826008695554278e-05
SCA|20142015,6.2285276101394e-06
SCF60|20112012,4.999252184456812e-05
SCF60|20122013,0.00010333287004158662
SCF60|20132014,1.569790482559307e-05
SCF60|20142015,0.00010723582986324643
SCA60|20112012,0.00034366482153888085
SCA60|20122013,0.0008852053301941405
SCA60|20132014,1.0155126036803116e-05
SCA60|20142015,0.00022342757977608695
SCF%|20112012,0.0018031619296038233
SCF%|20122013,4.7654714170351785e-05
SCF%|20132014,0.0004309487417970432
SCF%|20142015,1.7461562664931728e-05
PDO|20112012,0.001048924933719707
PDO|20122013,0.00012083533230941054
PDO|20132014,0.002730266774632314
